"","year","month","sex"
"1066",2003,3,1
"1067",2003,3,3
"1068",2003,3,3
"1069",2003,3,3
"1070",2003,3,3
"1071",2003,3,3
"1072",2003,3,3
"1073",2003,3,1
"1074",2003,3,1
"1075",2003,3,1
"1076",2003,3,1
"1077",2003,3,4
"1078",2003,3,1
"1079",2003,3,1
"1080",2003,3,4
"1081",2003,3,1
"1082",2003,3,1
"1083",2003,3,1
"1084",2003,3,1
"1085",2003,3,1
"1086",2003,3,1
"1087",2003,3,1
"1088",2003,3,1
"1089",2003,3,3
"1090",2003,3,3
"1091",2003,3,3
"1092",2003,3,1
"1093",2003,3,1
"1094",2003,3,3
"1095",2003,3,3
"1096",2003,3,3
"1097",2003,3,1
"1098",2003,3,5
"1099",2003,3,3
"1100",2003,3,3
"1101",2003,3,3
"1102",2003,3,3
"1103",2003,3,1
"1104",2003,3,3
"1105",2003,3,3
"1106",2003,10,4
"1107",2003,10,1
"1108",2003,10,1
"1109",2003,10,1
"1110",2003,10,1
"1111",2003,10,1
"1112",2003,10,1
"1113",2003,10,1
"1114",2003,10,4
"1115",2003,10,1
"1116",2003,10,1
"1117",2003,10,1
"1118",2003,10,1
"1119",2003,10,1
"1120",2003,10,1
"1121",2003,10,4
"1122",2003,10,1
"1123",2003,10,1
"1124",2003,10,1
"1125",2003,10,1
"1126",2003,10,1
"1127",2003,10,3
"1128",2003,10,3
"1129",2003,10,1
"1130",2003,10,1
"1131",2003,10,1
"1132",2003,10,1
"1133",2003,10,1
"1134",2003,10,1
"1135",2003,10,4
"1136",2003,10,1
"1137",2003,10,1
"1138",2003,10,1
"1139",2003,10,1
"1140",2003,10,1
"1141",2003,10,1
"1142",2003,10,1
"1143",2003,10,1
"1144",2003,10,1
"1145",2003,10,1
"1146",2003,10,1
"1147",2003,10,4
"1148",2003,10,1
"1149",2003,10,4
"1150",2003,10,4
"1151",2003,10,1
"1152",2003,10,1
"1153",2003,10,4
"1154",2003,10,1
"1155",2003,10,1
"1156",2003,10,1
"1157",2003,10,1
"1158",2003,10,1
"1159",2003,10,1
"1160",2003,10,4
"1161",2003,10,1
"1162",2003,10,1
"1163",2003,10,1
"1164",2003,10,1
"1165",2003,10,1
"1166",2003,10,1
"1167",2003,10,1
"1168",2003,10,1
"1169",2003,10,1
"1170",2003,10,1
"1171",2003,3,1
"1172",2003,3,1
"1173",2003,3,1
"1174",2003,3,1
"1175",2003,3,3
"1176",2003,3,1
"1177",2003,3,1
"1178",2003,3,1
"1179",2003,3,1
"1180",2003,3,1
"1181",2003,3,1
"1182",2003,3,1
"1183",2003,3,1
"1184",2003,3,1
"1185",2003,3,1
"1186",2003,3,1
"1187",2003,3,1
"1188",2003,3,1
"1189",2003,3,1
"1190",2003,3,1
"1191",2003,3,1
"1192",2003,3,1
"1193",2003,3,1
"1194",2003,3,1
"1195",2003,3,1
"1196",2003,3,1
"1197",2003,3,1
"1198",2003,3,1
"1199",2003,3,1
"1200",2003,3,1
"1201",2003,3,1
"1202",2003,3,3
"1203",2003,3,1
"1204",2003,3,1
"1205",2003,3,1
"1206",2003,3,1
"1207",2003,3,1
"1208",2003,3,1
"1209",2003,3,1
"1210",2003,3,1
"1211",2003,3,1
"1212",2003,3,1
"1213",2003,3,1
"1214",2003,3,1
"1215",2003,3,1
"1216",2003,3,1
"1217",2003,3,1
"1218",2003,3,1
"1219",2003,3,1
"1220",2003,3,1
"1221",2003,3,1
"1222",2003,3,1
"1223",2003,3,1
"1224",2003,3,1
"1225",2003,3,1
"1226",2003,3,1
"1227",2003,3,1
"1228",2003,3,1
"1229",2003,3,1
"1230",2003,3,1
"1231",2003,3,1
"1232",2003,3,1
"1233",2003,3,1
"1234",2003,3,1
"1235",2003,3,1
"1236",2003,3,1
"1237",2003,3,1
"1238",2003,3,1
"1239",2003,3,3
"1240",2003,3,1
"1241",2003,3,3
"1242",2003,3,1
"1243",2003,3,1
"1244",2003,3,3
"1245",2003,3,3
"1246",2003,3,3
"1247",2003,3,3
"1248",2003,3,3
"1249",2003,3,3
"1250",2003,3,3
"1251",2003,3,3
"1252",2003,3,1
"1253",2003,3,1
"1254",2003,3,1
"1255",2003,3,3
"1256",2003,3,1
"1257",2003,3,3
"1258",2003,3,3
"1259",2003,3,1
"1260",2003,3,3
"1261",2003,3,3
"1262",2003,3,3
"1263",2003,3,3
"1264",2003,3,1
"1265",2003,3,3
"1266",2003,3,5
"1267",2003,3,1
"1268",2003,3,3
"1269",2003,3,3
"1270",2003,3,3
"1271",2003,3,3
"1272",2003,3,3
"1273",2003,3,1
"1274",2003,3,3
"1275",2003,3,3
"1276",2003,3,3
"1277",2003,10,1
"1278",2003,10,1
"1279",2003,10,1
"1280",2003,10,1
"1281",2003,10,1
"1282",2003,10,1
"1283",2003,10,1
"1284",2003,10,1
"1285",2003,10,1
"1286",2003,10,1
"1287",2003,10,1
"1288",2003,10,1
"1289",2003,10,3
"1290",2003,10,1
"1291",2003,10,1
"1292",2003,10,3
"1293",2003,10,1
"1294",2003,10,1
"1295",2003,10,1
"1296",2003,10,1
"1297",2003,10,1
"1298",2003,10,1
"1299",2003,10,1
"1300",2003,10,1
"1301",2003,11,3
"1302",2003,11,1
"1303",2003,11,1
"1304",2003,11,1
"1305",2003,11,1
"1306",2003,11,1
"1307",2003,11,1
"1308",2003,11,1
"1309",2003,11,1
"1310",2003,11,1
"1311",2003,11,1
"1312",2003,11,1
"1313",2003,11,1
"1314",2003,11,1
"1315",2003,11,1
"1316",2003,11,1
"1317",2003,11,1
"1318",2003,11,1
"1319",2003,11,1
"1320",2003,11,3
"1321",2003,11,3
"1322",2003,11,1
"1323",2003,11,1
"1324",2003,11,1
"1325",2003,11,1
"1326",2003,11,1
"1327",2003,11,1
"1328",2003,11,1
"1329",2003,11,1
"1330",2003,11,1
"1331",2003,11,1
"1332",2003,11,1
"1333",2003,11,1
"1334",2003,11,1
"1335",2003,11,1
"1336",2003,11,1
"1337",2003,11,1
"1338",2003,11,1
"1339",2003,11,1
"1340",2003,11,1
"1341",2003,11,1
"1342",2003,11,1
"1343",2003,11,1
"1344",2003,11,1
"1345",2003,11,1
"1346",2003,11,1
"1347",2003,11,1
"1348",2003,11,1
"1349",2003,11,1
"1350",2003,11,1
"1351",2003,11,1
"1352",2003,11,1
"1353",2003,11,1
"1354",2003,11,1
"1355",2003,11,1
"1356",2003,11,1
"1357",2003,11,1
